State,date,Biden,Sanders,Bloomberg,Warren,Buttigieg,Klobuchar,Yang,Steyer,Gabbard,Bennet,Patrick
Iowa,2/3/2020,6,12,0,8,13,1,0,0,0,0,0
New Hampshire,2/11/2020,0,9,0,0,9,6,0,0,0,0,0
Nevada,2/22/2020,9,24,0,0,3,0,0,0,0,0,0
South Carolina,2/29/2020,39,15,0,0,0,0,0,0,0,0,0
Alabama,3/3/2020,42,7,3,0,0,0,0,0,0,0,0
Arkansas,3/3/2020,16,8,4,0,0,0,0,0,0,0,0
California,3/3/2020,93,155,14,9,0,0,0,0,0,0,0
Colorado,3/3/2020,9,20,9,1,0,0,0,0,0,0,0
Maine,3/3/2020,11,9,0,4,0,0,0,0,0,0,0
Massachusetts,3/3/2020,36,29,0,23,0,0,0,0,0,0,0
Minnesota,3/3/2020,38,26,0,10,0,0,0,0,0,0,0
North Carolina,3/3/2020,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,3/3/2020,21,13,3,0,0,0,0,0,0,0,0
Tennessee,3/3/2020,28,15,7,1,0,0,0,0,0,0,0
Texas,3/3/2020,81,72,4,1,0,0,0,0,0,0,0
Utah,3/3/2020,1,9,2,0,0,0,0,0,0,0,0
Vermont,3/3/2020,5,11,0,0,0,0,0,0,0,0,0
Virginia,3/3/2020,67,31,0,1,0,0,0,0,0,0,0
Idaho,3/10/2020,0,0,0,0,0,0,0,0,0,0,0
Michigan,3/10/2020,0,0,0,0,0,0,0,0,0,0,0
Mississippi,3/10/2020,0,0,0,0,0,0,0,0,0,0,0
Missouri,3/10/2020,0,0,0,0,0,0,0,0,0,0,0
North Dakota,3/10/2020,0,0,0,0,0,0,0,0,0,0,0
Washington,3/10/2020,0,0,0,0,0,0,0,0,0,0,0
Arizona,3/17/2020,0,0,0,0,0,0,0,0,0,0,0
Florida,3/17/2020,0,0,0,0,0,0,0,0,0,0,0
Illinois,3/17/2020,0,0,0,0,0,0,0,0,0,0,0
Ohio,3/17/2020,0,0,0,0,0,0,0,0,0,0,0
Georgia,3/24/2020,0,0,0,0,0,0,0,0,0,0,0
Alaska,4/4/2020,0,0,0,0,0,0,0,0,0,0,0
Hawaii,4/4/2020,0,0,0,0,0,0,0,0,0,0,0
Louisiana,4/4/2020,0,0,0,0,0,0,0,0,0,0,0
Wyoming,4/4/2020,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,4/7/2020,0,0,0,0,0,0,0,0,0,0,0
Connecticut,4/28/2020,0,0,0,0,0,0,0,0,0,0,0
Delaware,4/28/2020,0,0,0,0,0,0,0,0,0,0,0
Maryland,4/28/2020,0,0,0,0,0,0,0,0,0,0,0
New York,4/28/2020,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,4/28/2020,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,4/28/2020,0,0,0,0,0,0,0,0,0,0,0
Kansas,5/2/2020,0,0,0,0,0,0,0,0,0,0,0
Indiana,5/5/2020,0,0,0,0,0,0,0,0,0,0,0
Nebraska,5/12/2020,0,0,0,0,0,0,0,0,0,0,0
West Virginia,5/12/2020,0,0,0,0,0,0,0,0,0,0,0
Kentucky,5/19/2020,0,0,0,0,0,0,0,0,0,0,0
Oregon,5/19/2020,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,6/2/2020,0,0,0,0,0,0,0,0,0,0,0
Montana,6/2/2020,0,0,0,0,0,0,0,0,0,0,0
New Jersey,6/2/2020,0,0,0,0,0,0,0,0,0,0,0
New Mexico,6/2/2020,0,0,0,0,0,0,0,0,0,0,0
South Dakota,6/2/2020,0,0,0,0,0,0,0,0,0,0,0
