firm_id,house_effect,firm,date,Biden,Sanders,Bloomberg,Warren,Buttigieg,Klobuchar,Gabbard,Steyer,Patrick,Yang,Harris,Booker,ORourke,Castro,Bullock,Williamson,Bennet,deBlasio,Delaney
15,0.9,The Hill/HarrisX,2/23/2020,17,28,19,8,12,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.3,Economist/YouGov,2/23/2020,20,30,11,16,9,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.3,CBS News/YouGov,2/20/2020,17,28,13,19,10,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-1.8,Emerson,2/16/2020,22,29,14,12,8,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.3,Economist/YouGov,2/16/2020,18,24,12,16,11,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.5,ABC News/Wash Post,2/14/2020,16,32,14,12,8,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1.4,NBC News/Wall St. Jrnl,2/14/2020,15,27,14,14,13,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0,NPR/PBS/Marist,2/13/2020,15,31,19,12,8,9,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-0.3,SurveyUSA,2/13/2020,18,29,18,10,12,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.3,Economist/YouGov,2/9/2020,18,22,12,15,10,7,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.9,The Hill/HarrisX,2/7/2020,23,20,16,9,9,3,1,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-0.7,Monmouth,2/6/2020,16,26,11,13,13,6,1,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.5,Quinnipiac,2/5/2020,17,25,15,14,10,4,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,2/4/2020,22,25,17,11,11,3,1,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.3,Economist/YouGov,2/2/2020,24,19,9,18,9,6,3,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.5,Politico/Morning Consult,1/27/2020,28,24,14,14,6,3,2,3,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA
6,0.9,Harvard-Harris,1/27/2020,31,20,13,12,6,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.3,Economist/YouGov,1/26/2020,26,24,4,20,7,4,3,1,1,4,NA,NA,NA,NA,NA,NA,0,NA,NA
10,1.4,NBC News/Wall St. Jrnl,1/26/2020,26,27,9,15,7,5,2,2,1,4,NA,NA,NA,NA,NA,NA,0,NA,NA
7,-1.4,IBD/TIPP,1/23/2020,26,19,8,13,7,3,1,2,0,4,NA,NA,NA,NA,NA,NA,1,NA,NA
12,0.5,Quinnipiac,1/22/2020,26,21,8,15,6,7,1,2,0,3,NA,NA,NA,NA,NA,NA,0,NA,0
4,-1.8,Emerson,1/21/2020,30,27,7,13,6,4,1,1,0,8,NA,NA,NA,NA,NA,NA,1,NA,1
1,1.5,ABC News/Wash Post,1/20/2020,34,22,7,14,4,4,0,1,1,6,NA,NA,NA,NA,NA,NA,2,NA,0
11,0.5,Morning Consult,1/20/2020,29,23,12,14,7,3,1,3,0,5,NA,NA,NA,NA,NA,NA,1,NA,1
15,0.9,The Hill/HarrisX,1/20/2020,29,17,11,9,5,2,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.3,Economist/YouGov,1/19/2020,28,18,6,21,8,4,3,2,0,3,NA,NA,NA,NA,NA,NA,0,NA,0
5,0.9,FOX News,1/19/2020,26,23,10,14,7,3,0,3,1,5,NA,NA,NA,NA,NA,NA,0,NA,0
