Poll,caucus,state,Date,Warren,Buttigieg,Biden,Sanders,Klobuchar,Harris,Steyer,Gabbard,Yang,Booker,O'Rourke,Bennet,Sestak,Castro
NY Times/Siena,1,Iowa,10/25/2019,22,18,17,19,4,3,2,2,3,2,,,,
Iowa State University,1,Iowa,10/18/2019,28,20,12,18,4,3,3,2,2,1,1,1,,
USA Today/Suffolk,1,Iowa,10/16/2019,17,13,18,9,3,3,3,3,1,1,1,0,,
Emerson,1,Iowa,10/13/2019,23,16,23,13,1,2,2,2,5,3,0,1,,
CBS News/YouGov,1,Iowa,10/3/2019,22,14,22,21,2,5,3,1,0,2,2,1,,
DM Register/CNN,1,Iowa,9/14/2019,22,9,20,11,3,6,2,2,2,3,2,0,,
FRA/David Binder (D),1,Iowa,9/14/2019,23,12,25,9,8,5,3,1,2,2,1,0,,
Iowa State University,1,Iowa,9/13/2019,24,13,16,16,3,5,2,4,3,2,2,0,,
CBS News/YouGov,1,Iowa,8/28/2019,17,7,29,26,2,6,2,1,1,2,2,0,,
Monmouth,1,Iowa,8/1/2019,19,8,28,9,3,11,3,1,2,1,0,0,,
CBS News/YouGov,1,Iowa,7/9/2019,17,7,24,19,4,16,2,0,0,3,1,0,,
FRA/David Binder (D),1,Iowa,6/29/2019,20,10,17,12,4,18,,1,1,2,1,1,,
USA Today/Suffolk,1,Iowa,6/28/2019,13,6,24,9,2,16,,1,1,2,1,1,,
DM Register/CNN,1,Iowa,6/2/2019,15,14,24,16,2,7,,1,1,1,2,1,,
CBS News/YouGov,1,Iowa,5/31/2019,12,11,30,22,4,5,,1,0,3,4,0,,
Gravis,1,Iowa,4/17/2019,6,14,19,19,4,6,,1,1,4,5,,,
Monmouth,1,Iowa,4/4/2019,7,9,27,16,4,7,,0,1,3,6,0,,
Emerson,1,Iowa,3/21/2019,9,11,25,24,2,10,,1,0,6,5,,,
FRA/David Binder (D),1,Iowa,3/21/2019,8,6,25,17,6,9,,1,1,7,6,0,,
DM Register/CNN,1,Iowa,3/3/2019,9,1,27,25,3,7,,0,0,3,5,,,
Emerson,1,Iowa,1/30/2019,11,,29,15,3,18,,,,4,6,,,
DM Register/CNN,1,Iowa,12/10/2018,8,,32,19,3,5,,,,4,11,,,
Emerson,0,Nevada,10/31/2019,22,5,30,19,1,5,3,1,5,1,,1,,1
CNN,0,Nevada,9/22/2019,18,4,22,22,1,5,4,1,3,2,,0,,0
USA Today/Suffolk,0,Nevada,9/19/2019,19,3,23,14,0,4,3,1,3,2,,1,,1
CBS News/YouGov,0,Nevada,8/28/2019,18,4,27,29,0,6,2,1,1,1,,0,,2
Gravis,0,Nevada,8/16/2019,15,5,25,10,2,9,6,2,2,3,,2,,1
Morning Consult*,0,Nevada,7/1/2019,12,6,29,23,1,11,1,0,3,3,,0,,2
Monmouth,0,Nevada,6/6/2019,19,7,36,13,1,6,,1,2,2,,0,,1
Emerson,0,Nevada,3/28/2019,10,5,26,23,2,9,,2,3,2,,,,1
CNN/UNH,0,New Hampshire,10/21/2019,18,10,15,21,5,3,3,5,5,2,2,,1,
Boston Herald/FPU,0,New Hampshire,10/9/2019,25,9,24,22,2,5,1,1,1,2,0,,,
CBS News/YouGov,0,New Hampshire,10/3/2019,32,7,24,17,2,4,4,2,5,1,1,,0,
St. Anselm,0,New Hampshire,9/25/2019,25,10,24,11,3,5,2,3,2,1,0,,,
Monmouth,0,New Hampshire,9/17/2019,27,10,25,12,2,3,2,2,2,2,1,,0,
No Labels/HarrisX,0,New Hampshire,9/6/2019,15,5,22,21,1,5,2,6,2,3,1,,,
Emerson,0,New Hampshire,9/6/2019,21,11,24,13,1,8,1,6,3,4,1,,0,
Boston Herald/FPU,0,New Hampshire,9/4/2019,17,5,21,29,1,6,0,3,5,1,2,,,
CBS News/YouGov,0,New Hampshire,8/28/2019,27,8,26,25,1,7,1,1,1,2,1,,0,
Gravis,0,New Hampshire,8/2/2019,12,8,15,21,4,7,4,5,4,0,2,,,
Boston Globe/Suffolk,0,New Hampshire,8/1/2019,14,6,21,17,1,8,1,3,1,1,0,,0,
St. Anselm,0,New Hampshire,7/10/2019,17,12,21,10,3,18,,1,5,1,0,,,
CBS News/YouGov,0,New Hampshire,7/9/2019,18,7,27,20,1,12,1,2,1,1,2,,0,
CNN/UNH,0,New Hampshire,7/8/2019,19,10,24,19,0,9,,1,1,2,2,,,
CBS News/YouGov,0,New Hampshire,5/31/2019,17,10,33,20,1,7,,0,1,3,4,,,
Monmouth,0,New Hampshire,5/2/2019,8,9,36,18,2,6,,0,1,2,2,,,
Boston Globe/Suffolk,0,New Hampshire,4/25/2019,8,12,20,12,1,6,,1,1,3,3,,,
UNH,0,New Hampshire,4/10/2019,5,15,18,30,2,4,,1,2,3,3,,,
St. Anselm,0,New Hampshire,4/3/2019,9,11,23,16,2,7,,1,,4,6,,,
Emerson,0,New Hampshire,2/21/2019,9,1,25,27,8,12,,0,,5,5,,,
UNH,0,New Hampshire,2/18/2019,7,1,22,26,4,10,,1,,3,5,,,
UMass Amherst,0,New Hampshire,2/7/2019,9,,28,20,1,14,,,,3,6,,,
Monmouth,0,South Carolina,10/16/2019,16,3,33,12,2,6,4,1,2,2,1,0,,
Post and Courier,0,South Carolina,10/15/2019,19,9,30,13,3,11,5,3,4,3,1,1,,
CBS News/YouGov,0,South Carolina,10/3/2019,18,4,43,16,1,7,2,0,1,3,1,1,,
Gravis,0,South Carolina,10/3/2019,9,0,34,10,2,4,7,1,2,6,2,0,,
FOX News,0,South Carolina,9/29/2019,12,2,41,10,0,4,4,1,1,3,0,1,,
CNN,0,South Carolina,9/22/2019,16,4,37,11,1,3,3,1,0,2,2,1,,
Winthrop,0,South Carolina,9/21/2019,17,4,37,8,1,7,2,1,2,3,2,0,,
CBS News/YouGov,0,South Carolina,8/28/2019,14,4,43,18,1,7,1,1,1,2,1,0,,
Post and Courier,0,South Carolina,8/9/2019,17,5,36,16,1,12,1,2,1,4,1,0,,
Monmouth,0,South Carolina,7/18/2019,9,5,39,10,1,12,2,0,0,2,1,1,,
CBS News/YouGov,0,South Carolina,7/9/2019,12,5,39,17,1,12,1,0,1,3,2,0,,
FOX News,0,South Carolina,7/7/2019,5,2,35,14,0,12,,0,1,3,0,0,,
Post and Courier,0,South Carolina,6/11/2019,17,11,37,9,1,9,,1,3,5,4,0,,
CBS News/YouGov,0,South Carolina,5/31/2019,8,6,45,18,1,7,,0,1,4,4,0,,
